identifier,notify_party_name,notify_party_address_1,notify_party_address_2,notify_party_address_3,notify_party_address_4,city,state_province,zip_code,country_code,contact_name,comm_number_qualifier,comm_number
20180101149,AMERICAN QUARTZ & STONES INC,3500 SOUTH DUPONT HIGHWAY,DOVER DE 19901,USA,,,,,,,,
20180101151,CV INTERNATIONAL INC.,1128 WEST OLNEY ROAD,"NORFOLK, VA 23507",TEL 757-466-1170,FAX 757-466-1823,,,,,,,
20180101152,LAX IMPORT BROKERAGE CRANE,WORLDWIDE TRADE SERVICES 2501,W . ROSEGRANS AVE COMPTON,CA 90059 PH:310-765-2300,,,,,,,,
20180101153,LAX IMPORT BROKERAGE CRANE,WORLDWIDE TRADE SERVICES 2501,W . ROSEGRANS AVE COMPTON,CA 90059 PH:310-765-2300,,,,,,,,
20180101155,COATING EXCELLENCE INTERNATIONAL,LLC 975 BROADWAY STREET,WRIGHTSTOWN WI 54180,USA,,,,,,,,
20180101156,COATING EXCELLENCE INTERNATIONAL,LLC 975 BROADWAY STREET,WRIGHTSTOWN WI 54180,USA,,,,,,,,
20180101157,COATING EXCELLENCE INTERNATIONAL,LLC 975 BROADWAY,WRIGHTSTOWN WI 54180,USA,,,,,,,,
20180101158,COATING EXCELLENCE INTERNATIONAL,LLC 975 BROADWAY STREET,WRIGHTSTOWN WI 54180,USA,,,,,,,,
20180101159,COATING EXCELLENCE INTERNATIONAL,LLC 975 BROADWAY STREET,WRIGHTSTOWN WI 54180,USA,,,,,,,,
20180101160,MORAN GULF SHIPPING AGENCIES INC,122 W WAY ST 402 LAKE JACKSON TX,77566 USA,,,,,,,,,
20180101161,EURO QUARRIES,P.O.BOX 151 PARRISH.FL 34219,,,,,,,,,,
20180101167,RTW LOGISTICS INC.,500 E CARSON PLAZA,"DR SUITE 218 CARSON, CA 90746, USA","TEL: (310) 237 5834,",,,,,,,Telephone Number,FAX: (310) 237 5836
20180101168,RTW LOGISTICS INC.,500 E CARSON PLAZA,"DR SUITE 218 CARSON, CA 90746, USA","TEL: (310) 237 5834,",,,,,,,Telephone Number,FAX: (310) 237 5836
20180101169,RTW LOGISTICS INC.,500 E CARSON PLAZA,"DR SUITE 218 CARSON, CA 90746, USA","TEL: (310) 237 5834,",,,,,,,Telephone Number,FAX: (310) 237 5836
20180101170,RTW LOGISTICS INC.,500 E CARSON PLAZA,"DR SUITE 218 CARSON, CA 90746, USA","TEL: (310) 237 5834,",,,,,,,Telephone Number,FAX: (310) 237 5836
20180101171,RTW LOGISTICS INC.,500 E CARSON PLAZA,"DR SUITE 218 CARSON, CA 90746, USA","TEL: (310) 237 5834,",,,,,,,Telephone Number,FAX: (310) 237 5836
20180101173,ZHONGQIAO USA INTL CORP,9520 7TH ST SUITE A RANCHO,CUCAMONGA CA UNITED STATES 91730,,,,,,,,,
20180101174,PARRISH TIRE COMPANY INC.,5130 INDIANA AVENUE WINSTON SALEM,NC UNITED STATES 27106,,,,,,,,,
20180101175,LIBRA INTERNATIONAL INC,5815 E. SHELBY DR. MEMPHIS TN,UNITED STATES 38141,,,,,,,,,
20180101179,LF LOGISTICS USA LLC,"10350 HERITAGE PARK DRIVE,SUITE 200",SANTA FE SPRINGS CA 90670 UNITED ST,,,,,,,,,
20180101182,PKD LOGISTICS,5604 WENDY BAGWELL PARKWAY,"SUITE NO_223 HIRAM,GEORGIA-30141",TEL_6789674444 FAX_7706357621,,,,,,,,
20180101183,HECNY TRANSPORTATION INC.,1904 NW 62ND AVE,"MIAMI, FLORIDA 33126 USA",,,,,,,,,
20180101184,HECNY TRANSPORTATION INC (LAX),"19550 S. DOMINGUEZ HILLS DRIVE,","1RANCHO DOMINGUEZ, CA 90220.",TEL: 562-616-7888 FAX: 562-616-7895,,,,,,,Telephone Number,LAX`DCENTER HECNYUSA.COM
20180101185,KEY SAFETY SYSTEMS,7000 NINETEEN MILE ROAD,STERLING HEIGHTS MI 48314,USA,,,,,,,,
20180101187,EXPEDITORS INTERNATIONAL OF WASHING,"519 KAISER DRIVE, SUITE A",,,,,,,,,,
20180101188,"MTS LOGISTICS INC, USA",5 WEST 37TH STREET SUITE 300,NEW YORK NY 10018 UNITED STATES,,,,,,,,,
20180101189,HECNY TRANSPORTATION INC.,1904 NW 62ND AVE,"MIAMI, FLORIDA 33126 USA",,,,,,,,,
20180101190,HECNY TRANSPORTATION INC (LAX),"19550 S. DOMINGUEZ HILLS DRIVE,","1RANCHO DOMINGUEZ, CA 90220.",TEL: 562-616-7888 FAX: 562-616-7895,,,,,,,Telephone Number,LAX`DCENTER HECNYUSA.COM
20180101194,CUMMINS ENGINE CO. INC.,20 ZANE GREY RECEIVING LOC-372,EL PASO TX 79906,USA,,,,,,,,
20180101195,US PACIFIC TRANSPORT INC,"36-36 MAIN STREET, 6/FLOOR UNIT 6R",FLUSHING/QUEENS NY 11354 UNITED STA,,,,,,,,,
20180101196,BUILDING PRODUCTS OF AMERICA LLC,1127 S 56TH STREET,TAMPA FL 33619,USA,,,,,,,,
20180101198,RELIANCE GRANITE & MARBLE CORP,50 BORIGHT AVENUE,KENILWORTH NJ 07033,USA,,,,,,,,
20180101199,EASY STONES,5965 PEACHTREE CORNERS EAST,SUITE A5,"NORCROSS, GA 30071 US",,,,,,,,
20180101200,DAHNAY LOGISTICS USA INC,"#1 CRAGWOOD ROAD, SUITE 305A,","SOUTH PLAINFIELD,NJ-07080,USA",TEL 908-315-1500,,,,,,,Telephone Number,USA.OPS@DAHNAYLOGISTICS.COM
20180101201,RDD FREIGHT INTERNATIONAL INC,17425 RAILROAD ST.,CITY OF INDUSTRY CA 91748 UNITED ST,,,,,,,,,
20180101202,BARSAN GLOBAL LOGISTICS INC,17-09 ZINK PLACE SUITE#5 FAIR LAWN,NJ 07410 USA,TEL :+1 201 773 0730,FAX :+1 201 773 0731,,,,,,,
20180101203,SAME AS CONSIGNEE,.,"565 BREA CANYON RD., SUITE D WALNUT",CA 91789 US,,,,,,,,
20180101204,DHL GLOBAL FORWARDING,SUITE 520 5955 CORE ROAD,NORTH CHARLESTON SC 29406,UNITED STATES,,,,,,,Telephone Number,7603452 7603452
20180101205,GATES CORPORATION,2700 EARAHART COURT,5887 DENVER CO,HEBRON KY 41048,USA,,,,,,,
20180101206,GATES CORPORATION,2700 EARAHART COURT,5887 DENVER CO,HEBRON KY 41048,USA,,,,,,,
20180101207,DERNIS INTL MARKETING CO.,2600 RELIANCE DRIVE,"VIRGINIA BEACH, VIRGINIA 23452 USA",VIRGINIA BEACH VA,USA,,,,,,,
20180101208,BALTIC LINEN COMPANY,"2670 S. WESTERN AVE @ LAS VEGAS,",NV 89109 702-735-4973 @,TOLL FREE : 800-282-3041,,,,,,,,
20180101208,"ACTION CUSTOMS EXPEDITERS,INC",115 CHRISTOPHER COLUMBUS DRIVE,"JERSEY CITY, NJ 07302, USA",ATTN: HERB CHAVARRIA,TEL : 201 333 8888,,,,,,,
20180101209,BALTIC LINEN COMPANY,"2670 S. WESTERN AVE @ LAS VEGAS,",NV 89109 702-735-4973 @,TOLL FREE : 800-282-3041,,,,,,,,
20180101209,"ACTION CUSTOMS EXPEDITERS, INC",115 CHRISTOPHER COLUMBUS DRIVE,"JERSEY CITY, NJ 07302, USA",ATTN: HERB CHAVARRIA,TEL : 201 333 8888,,,,,,,
20180101210,NMT INTERNATIONAL SHIPPING DUBAI LL,"THE PALLADIUM, UNIT #1004, 10TH FLO",OR,"JUMEIRAH LAKES TOWERS, DUBAI",,,,,,,Telephone Number,UNITED ARAB EMIRATES
20180101211,NMT INTERNATIONAL SHIPPING DUBAI LL,"THE PALLADIUM, UNIT #1004, 10TH FLO",OR,"JUMEIRAH LAKE TOWERS, DUBAI",,,,,,,Telephone Number,UNITED ARAB EMIRATES
20180101212,KUWAIT COMMERCIAL AGENCY COMPANY,FOR HALLIBURTON OVERSEAS LIMITED,"WAREHOUSE NO. 1,",KGL WAREHOUSE FACILITY,,,,,,,,
20180101214,DYSTAR L. P.,9844-A SOUTHERN PINE BLVD.CHARLOTTE,,,,NORTH CAROLINA,,,US,,,
20180101214,"LESCHACO, INC.","4925 LACROSS ROAD, SUITE 110","NORTH CHARLESTON, SC",,,"NORTH CHARLESTON,SC",,,US,,,
20180101215,WAY 2 GO LOGISTICS,8359 BEACON BLVD,FORT MYERS FL 33907,USA,,,,,,,,
20180101216,WAY 2 GO LOGISTICS,8359 BEACON BLVD,SUITE 407,FORT MYERS FL 33907,USA,,,,,,,
20180101217,WAY 2 GO LOGISTICS,8359 BEACON BLVD,SUITE 407,FORT MYERS FL 33907,USA,,,,,,,
20180101222,"GENERAL WORK PRODUCTS, INC.",4912 MEHURIN STREET,"JEFFERSON, LA 70121, U. S . A.",70121,,,,,,,,
20180101223,TOPOCEAN CONSOLIDATION SERVICE (LAX,2727 WORKMAN MILL ROAD,CITY OF INDUSTRY CA 90601 UNITED ST,,,,,,,,,
20180101224,"UPS OCEAN FREIGHT SERVICES, INC.",FMC #016871N,3400 NW 74TH AVE SUITE 5 & 6,MIAMI FL 33122 US,,,,,,,,
20180101226,MU HOLDINGS INC DBA MARBLE UNIQUES,815 WEST JEFFERSON ST,TIPTON IN 46072 US,,,,,,,,,
20180101226,CMDU,CMDU,,,,,,,,,,
20180101227,TRANSMARINE NAVIGATION CORPORATION,1270 SPRINGBROOK ROAD SUITE D,WALNUT CREEK CA 94597,,,,,,,,,
20180101229,BLUE PLANET INC NJ,959 BETHEL AVE,PENNSAUKEN NJ 08816 US,,,,,,,,,
20180101229,CMDU,CMDU,,,,,,,,,,
20180101230,KUEHNE + NAGEL LTD (TRINIDAD),1ST FLOOR PORT ADMINSTRATION?BUILDI,,,,PORT OF SPAIN,,,TT,,,
20180101232,"TRANSINDO USA, INC.","355 SOUTH LEMON AVENUE, SUITE E","WALNUT, CA 91789",USA,,,,,,,,
20180101235,VICTORY MARITIME SERVICES USA,"13360 MOLETTE STREET.,","SANTA FE SPRINGS, CA 90670",,,,,,,,,
20180101236,ZENITH OCEAN SHIPPER ASSOCIATION,"210 DEHART MOTOR TERMINAL RD, SW","CONOVER, NC 28613",ATTN : BRIAN BAIERS,FAX: 828-465-7398,,,,,,,
20180101237,AMERICAN CARGO EXPRESS,"1610 GREENS RD SUITE 400,","HOUSTON TX 77032,","P.281-869-2800, F.281-869-2802",,,,,,,,
20180101238,BLUE PLANET INC,959 BETHEL AVE PENNSAUKEN,PENNSAUKEN NJ 08110 US,,,,,,,,,
20180101238,CMDU,CMDU,,,,,,,,,,
20180101239,MAERSK INC,MAERSK INC,"180 PARK AVE,BUILDING 105","PO BOX 950,FLORHAM PARK, NJ 07932",,,,,,,,
20180101240,NIPPON EXPRESS USA INC.,"10725 HARRIISON ROAD, SUITE 250","ROMULUS, MI 48174",,,ROMULUS,MI,48174,US,,,
20180101241,"PROCRAFT CABINETRY FLORIDE,LLC","1850 SOUTH POWERLINE RD,DEERFIELD B",EACH FL 33442,,,,,,,,,
20180101242,"PROCRAFT CABINETRY FLORIDE,LLC","1850 SOUTH POWERLINE RD,DEERFIELD B",EACH FL 33442,,,,,,,,,
20180101243,WORLDWIDE CUSTOMS SERVICES INC.,2505 NW 74 AVE MIAMI FL UNITED,STATES 33122,,,,,,,,,
20180101245,LEATHER GROUP INC,12106 NE AINSWORTH CIRCLE,PORTLAND OR,,,USA,OR,97220,US,,,
20180101251,EXPEDITORS INTL OF WA INC,18255 HUMBLE PARKWAY,HUMBLE TX 77338,U.S.A.,,1-2819132900 TEL,EX,1-281913,28,,,
20180101252,"EVERGREEN FOREST PRODUCTS, INC",578 SOUND AVE,WADING RIVER NY 11792 US,,,,,,,,,
20180101252,CMDU,CMDU,,,,,,,,,,
20180101253,"PNL LOGISTICS, INC.",SUITE 170 400 SOUTH ATLANTIC BOULEV,MONTEREY PARK CA 91754,UNITED STATES,,,,,,,Telephone Number,6568189 6568189
20180101254,"PNL LOGISTICS, INC.",SUITE 170 400 SOUTH ATLANTIC BOULEV,MONTEREY PARK CA 91754,UNITED STATES,,,,,,,Telephone Number,6568189 6568189
20180101255,PUDONG PRIME INTERNATIONAL LOGISTIC,"9660 FLAIR DRIVE, SUITE 488",EL MONTE CA 91731 UNITED STATES,,,,,,,,,
20180101256,ENCORE SHIPPING INC,125 E LAKE ST SUITE 204,BLOOMINGDALE IL 60108,PH 630 893 8700 FAX 630 893 8787,,,,,,,,
20180101257,SECURE CUSTOMS BROKER,10 FIFTH STREET SUITE 401 VALLEY,STREAM NEW YORK 11581 USA,,,,,,,,,
20180101258,VANDEGRIFT FORWARDING COMPANY INC.,"20 SOUTH CHARLES STREET, SUITE 501","BALTIMORE,MD,21201,US",,,,,,,,,
20180101260,ACME FURNITURE INDUSTRY INC.,"18895 E. ARENTH AVE., CITY OF","INDUSTRY, CA 91748 U.S.A.",,,,,,,,,
20180101261,TRANSINDO USA INC,"355 SOUTH LEMON AVENUE, SUITE E","WALNUT, CA 91789 PHONE : (909) 444-",0499 FAX : (909) 444-0509,,,,,,,,
20180101262,OEC SHIPPING LOS ANGELES INC,"13100 ALONDRA BLVD, SUITE 100",CERRITOS CA 90703,UNITED STATES,,,,,,,Telephone Number,EMAIL: ALL.LAX OECGROUP.COM
20180101265,TRANS-OVERSEAS CORPORATION,4700 36TH STREET S.E.,,,,GRAND RAPIDS,MI,49512,US,,,
20180101266,OEC SHIPPING LOS ANGELES INC,"13100 ALONDRA BLVD, SUITE 100",CERRITOS CA 90703,UNITED STATES,,,,,,,Telephone Number,EMAIL: ALL.LAX OECGROUP.COM
20180101274,"PEGASUS INTERNATIONAL, INC. (NVOCC)","1100 JORIE BLVD, SUITE 240",OAK BROOK IL 60523 UNITED STATES,,,,,,,,,
20180101275,BNS SHIPPING INC.,.,179-22 149TH ROAD JAMAICA NY 11434,US,,,,,,,,
20180101278,AMERICAN CARGO EXPRESS INC. -,ATLANTA,"170 PENNEY ROAD, SUITE A FOREST","PARK, GA 30297",TEL:404 684 0000 FAX:404-684 0021,,,,,,,
20180101279,ELSALAM FOR IMPORT & EXPORT,ELMADASHAT STREET MANSORA,EGYPT,,,20-122130598 TEL,EX,20-54280,83,,,
20180101280,MANEX D.O.O.,TRG DESPOTA STEFANA 24,KRUSEVAC-SERBIA,VAT 100323079,,381-951999161,,,,,,
20180101282,DYNA LOGISTICS,19516 SUSANA ROAD,RANCHO DOMINGUEZ CA 90221 UNITED ST,,,,,,,,,
20180101283,C&A HOME IMPROVEMENT INC.,"10 WOORUFF OAKS LN, GREENVILLE SC",29607 UNITED STATES,,,,,,,,,
20180101284,"HECNY TRANSPORTATION, INC.",1904 NW 82ND AVENUE,MIAMI FL 33126 USA,,,,,,,,,
20180101286,DAVID FRANCIS FURNITURE,3990 US HIGHWAY 1,,,,VERO BEACH,FL,32960,US,,Telephone Number,+18889055678
20180101289,THE SAFETY ZONE LLC,751 N.W. 33RD STREET,POMPANO BEACH FLORIDA,,,,,,,,,
20180101291,"TRANSINDO USA, INC.","355 SOUTH LEMON AVENUE, SUITE E","WALNUT, CA 91789",USA,,,,,,,,
20180101293,"TRANSINDO USA, INC.","355 SOUTH LEMON AVENUE, SUITE E","WALNUT, CA 91789",USA,,,,,,,,
20180101294,MASTER PRODUCTS CORP,CARRETERA NO.2 KM 20.6 BARRIO,CANDELARIO TOA BAJA PR 00949,,,PUERTO RICO,,,US,,,
20180101296,THE SAFETY ZONE LLC,385 LONG HILL RD,"GUILFORD, CT 06437",,,,,,,,,
20180101297,AVANTI PRODUCTS,"10880 NW 30TH STREET, MIAMI, FL","33172, USA","ATTN: GISELLE DRESDA, PHONE (305)",592-7830,,,,,,,
20180101299,"UNIVERSAL SHIPPING, INC.",10395 NOBEL COURT,JURUPA VALLEY CA 91752,UNITED STATES,,,,,,,Telephone Number,6282226 6282221
20180101300,SUPERIOR SUSTAINABILITY,"P.O.BOX 9601 DEERIELD BEACH,FL3344",2 9601 USA,,,,,,,,,
20180101301,FASTGROW LOGISTICS AMERICA INC.,17870 CASTLETON ST. SUITE 338,INDUSTRY PA 91748 UNITED STATES,,,,,,,,,
20180101302,"CENTRANS MARINE SHIPPING, INC.","6161 SAVOY DR, SUITE 300",HOUSTON TX 77036 UNITED STATES,,,,,,,,,
20180101303,TOPOCEAN CONSOLIDATION SERVICE (LAX,2727 WORKMAN MILL ROAD,CITY OF INDUSTRY CA 90601 UNITED ST,,,,,,,,,
20180101305,MEDIMEXICO S DE R L DE C V,AV VALLE IMPERIAL 10523,22180 TIJUANA,,,MEXICO/TAX:MED94012,,22180,MX,,,
20180101306,FURNITURE CREATRIONS INC.,7426 CHERRY AVE SUITE 210 PMB 509,"FONTANA,CA,92336,US",,,,,,,,,
20180101309,STARLINK FREIGHT SYSTEM SFO INC,"206 UTAH AVE SOUTH SAN FRANCISCO,",CA 94080,ATTN STARLINK OID VINH TRAN,,,,,,,Telephone Number,EMAIL STARLINKOID@APEXSHIPPING. ##
20180101310,DUNLAP & KYLE CO INC,280 EUREKA STREET BATESVILLE,MS 38606,,,,,,,,,
20180101311,DUNLAP & KYLE CO INC,280 EUREKA STREET BATESVILLE,MS 38606,,,,,,,,,
20180101312,HECNY TRANSPORTATION INC (LAX),"19550 S. DOMINGUEZ HILLS DRIVE,","RANCHO DOMINGUEZ, CA 90220.",TEL: 562-616-7888 FAX: 562-616-7895,,,,,,,Telephone Number,LAX`DCENTER HECNYUSA.COM
20180101313,BRILLIANT GROUP LOGISTICS CORP.,159 N.CENTRAL AVENUE,"VALLEY STREAM, NY 11580",T:516-599-2406 - F:516-599-0528,ATTN : MR. JIMMY YU,,,,,,,
20180101314,ORIENT EXPRESS CONTAINER CO LTD,"133-33 BROOKVILLE BLVD, SUITE 306",ROSEDALE NY 11422 UNITED STATES,,,,,,,,,
20180101315,STONE CENTER INC,1325 OAKBOARD DRIVE SUITE C,NORCROSS GA 30093,USA,,,,,,,,
20180101318,NUTRIFRESH WEST LTD,"7503, 35TH STREET, BAY 11",CALGARY AB T2C 1V3,CANADA,,,,,,,,
20180101319,EASY STONES,5965 PEACHTREE CORNERS EAST,SUITE A5,"NORCROSS, GA 30071 US",,,,,,,,
20180101320,NEW PRIDE CORPORATION,"2757 EAST DEL AMO BLVD., SUITE 705","RANCHO DOMINGUEZ, CA 90221",USA TEL: (310) 631-7000,JEANIE YOO,,,,,,,
20180101321,NEW PRIDE CORPORATION,"2757 EAST DEL AMO BLVD., SUITE 705","RANCHO DOMINGUEZ, CA 90221",USA TEL: (310) 631-7000,JEANIE YOO,,,,,,,
20180101323,K & M TIRE,965 SPENCERVILLE RD,DELPHOS OH 45833 US,DELPHOS OH45833 US,,,,,,,,
20180101324,JK INTERNATIONAL INC.,SUITE 201 6750 LENOX CENTER COURT,MEMPHIS TN 38115,UNITED STATES,,,,,,,Telephone Number,7263229
20180101325,JK INTERNATIONAL INC.,SUITE 201 6750 LENOX CENTER COURT,MEMPHIS TN 38115,UNITED STATES,,,,,,,Telephone Number,7263229
20180101326,OEC GROUP NEW YORK,"ONE CROSS ISLAND PLAZA, 133-33","BROOKVILLE BLVD.,","STE. 306, ROSEDALE, NY 11422 U.S.A",,,,,,,,
20180101330,DJS INTERNATIONAL FREIGHT,FORWARDERS,"4215 GATEWAY DRIVE, SUITE-100",COLLEYVILLE TX 76034,EMAIL JR.GUAJARDODJSINTL.COM,,,,,,,
20180101331,"RADIUS INTERNATIONAL,INC","150 EASTERN AVE SUITE 250 CHELSEA,",MA 02150 USA TAX ID 26-0176739,ATTN TAYLOR MARTON,T 1-617-561-1300F 1-617-561-0425,,,,,,,
20180101332,KELSEY HAYES COMPANY- OAKWOOD,DBA TRW AUTOMOTIVE,,5531 RAFE COURT,,FLOWERY BRANCH,GA,30542,US,,Telephone Number,+17709655750
20180101335,1.INA INTERNATIONAL LTD.A WHOLLY OW,"SUBSIDIARY OF FGL SPORTS.824 41AVE,","NE CALGARY,ALBERTA CANADA T2E 3R3",CALGARY AB,,,,,,,,
20180101336,ALIANZA EST. PORT. S.A DE C.V,KM 1.0 CARR. MANZANILLO- MINATITLAN,52,MANZANILLO 65000 MX,,,,,,,,
20180101337,FASTGROW LOGISTICS AMERICA INC.,17870 CASTLETON ST. SUITE 338,INDUSTRY PA 91748 UNITED STATES,,,,,,,,,
20180101338,DAHNAY LOGISTICS USA INC,"#1 CRAGWOOD ROAD, SUITE 305A,","SOUTH PLAINFIELD,NJ-07080,USA",TEL 908-315-1500,,,,,,,Telephone Number,USA.OPS@DAHNAYLOGISTICS.COM
20180101340,EXPEDITORS INTL OF WA INC,506 E. DALLAS RD,SUITE 400,GRAPEVINE TX 76051,,1-8173054000 TEL,EX,1-817421,10,,,
20180101341,C H ROBINSON INTERNATIONAL INC,14800 CHARLSON ROAD SUITE 400,,,,EDEN PRAIRIE,MN,55347,US,0000,Telephone Number,1 952 352 2887
20180101342,JOHN A STEER COMPANY,"5423 HENNEMAN DRIVE, STE A",NORFOLK VA 23513,USA,,,,,,,,
20180101344,JAS FORWARDING (USA) INC,"4900 ST JOE BOULEVARD, BUILDING",100SUITE 400,COLLEGE PARK GA 30337,,1-4049426200 TEL,EX,1-404942,62,,,
20180101345,"M/S WORLD TRADING COMPANY INC.,",6754 MELROSE LN OKLAHOMA CITY,OK 73127 USA,,,1-4057871982 TEL,EX,1-405787,13,,,
